id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
524,52:57.6,"{""number"": 97, ""copying"": true, ""score"": 1, ""info_chosen"": ""Times Chosen on This Topic"", ""round"": 2, ""human"": true, ""topic"": ""Art""}",,,,,f,,{},lotty_info,8,1,20th Century
525,52:57.7,,,,,,f,,{},info,1,1,"{""question"": ""Edward Hopper painted \""Nighthawks\"" in:"", ""number"": 98, ""round"": 2, ""topic"": ""Art"", ""Wwer"": ""1742"", ""Rwer"": ""1942"", ""pic"": false}"
526,53:02.2,"{""number"":98,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,t,53:05.1,{},lotty_info,8,1,Ask Someone Else
527,53:02.8,"{""number"":98,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,7,1,1742
528,53:05.0,"{""number"":98,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,9,1,1942
529,53:05.1,,,,,,f,,{},info,1,1,Good Luck
530,53:11.0,"{""number"":98,""copying"":true,""score"":0,""info_chosen"":""Times Chosen on This Topic"",""round"":2,""human"":true,""topic"":""Art""}",,,,,t,53:11.0,{},lotty_info,8,1,7
531,53:11.0,"{""number"": 98, ""copying"": true, ""score"": 0, ""info_chosen"": ""Times Chosen on This Topic"", ""round"": 2, ""human"": true, ""topic"": ""Art""}",,,,,f,,{},lotty_info,8,1,1742
532,53:11.2,,,,,,f,,{},info,1,1,"{""question"": ""\""The Birth of Venus\"" is a painting by:"", ""number"": 99, ""round"": 2, ""topic"": ""Art"", ""Wwer"": ""Leonardo da Vinci"", ""Rwer"": ""Sandro Boticelli"", ""pic"": false}"
533,53:14.7,"{""number"":99,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,7,1,Sandro Boticelli
534,53:15.8,"{""number"":99,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,9,1,Leonardo da Vinci
535,53:16.4,"{""number"":99,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,t,53:16.5,{},lotty_info,8,1,Ask Someone Else
536,53:16.5,,,,,,f,,{},info,1,1,Good Luck
537,53:20.9,"{""number"":99,""copying"":true,""score"":0,""info_chosen"":""Times Chosen on This Topic"",""round"":2,""human"":true,""topic"":""Art""}",,,,,t,53:20.9,{},lotty_info,8,1,7
538,53:20.9,"{""number"": 99, ""copying"": true, ""score"": 1, ""info_chosen"": ""Times Chosen on This Topic"", ""round"": 2, ""human"": true, ""topic"": ""Art""}",,,,,f,,{},lotty_info,8,1,Sandro Boticelli
539,53:21.1,,,,,,f,,{},info,1,1,"{""question"": ""James Abbott Mcneil Whistler painted \""Whistler's Mother\"" in:"", ""number"": 100, ""round"": 2, ""topic"": ""Art"", ""Wwer"": ""1571"", ""Rwer"": ""1871"", ""pic"": false}"
540,53:25.7,"{""number"":100,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,7,1,1871
541,53:28.3,"{""number"":100,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,9,1,1871
542,53:30.2,"{""number"":100,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":2,""human"":true,""topic"":""Art""}",,,,,f,,{},lotty_info,8,1,1571
543,53:30.4,,,,,,f,,{},info,1,1,"{""question"": ""This is a dummy question"", ""number"": 101, ""round"": 2, ""topic"": ""dummy"", ""Wwer"": ""dummy"", ""Rwer"": ""dummy"", ""pic"": false}"
